Name, Type, City, District
Donner, Bookstore, Rotterdam, Stadscentrum
Erasmus Esports, Student Sport Association, Rotterdam, Feijenoord
Skateland, Sports, Rotterdam, Feijenoord
Rotown, Concert Venue / Music Bar, Rotterdam, Stadscentrum
Bar3, Music Bar, Rotterdam, Stadscentrum
160K, Arcade Hall / Bar, Rotterdam, Stadscentrum
Kino, Cinema, Rotterdam, Stadscentrum
Worm, Art Center, Rotterdam, Stadscentrum
V2, Art Center, Rotterdam, Stadscentrum
Szeneviertel, Bar, Rotterdam, Stadscentrum
Wunderbar, Bar, Rotterdam, Stadscentrum
Hogeschool Rotterdam CMI, School, Rotterdam, Stadscentrum

NN Douwe Egberts Café, Café / Study Spot, Rotterdam, Stadscentrum
Heilige Boontjes, Café / Study Spot, Rotterdam, Stadscentrum
Backyard, Café / Study Spot, Rotterdam, Stadscentrum
Centrale Bibliotheek Rotterdam, Library, Rotterdam, Stadscentrum
Biergarten, Beer Garden, Rotterdam, Stadscentrum
Kaapse Brouwers, Brewery / Bar, Rotterdam, Katendrecht
Beest Boulders,Bouldering Gym,Rotterdam,Noord
Queer Rotterdam,LGBTQ+ Community Group,Rotterdam,Centrum
Ferry,LGBTQ+ Bar & Restaurant,Rotterdam,Centrum
Cinerama,Cinema,Rotterdam,Centrum
De Slegte,Bookstore,Rotterdam,Centrum
Toffler,Nightclub,Rotterdam,Centrum
Annabel,Music Venue,Rotterdam,Centrum
Teds op het dak,Rooftop Brunch Café,Rotterdam,Centrum
Perron,Nightclub,Rotterdam,Centrum
Roodkapje,Cultural Center,Rotterdam,Centrum

Burgertrut,Burger Restaurant,Rotterdam,Centrum
Fenix Food Factory,Food Market,Rotterdam,Katendrecht
Kleine Walhalla,Theater,Rotterdam,Katendrecht
Nieuwe Luxor Theater,Theater,Rotterdam,Kop van Zuid
LantarenVenster,Cinema & Jazz Venue,Rotterdam,Kop van Zuid
Historische Tuin Schoonoord,Historic Garden,Rotterdam,Centrum
Mystiek,Nightclub,Rotterdam,Centrum
Boekhandel van Gennep,Bookstore,Rotterdam,Centrum
Kilo Kilo store,Vintage Clothing Store,Rotterdam,Centrum
De Après Skihut,Après-ski Bar,Rotterdam,Centrum
De Gele Kanarie Cafe,Café & Brewery,Rotterdam,Centrum
Deli Tasty,Vietnamese Restaurant,Rotterdam,Centrum
Cheap Fashion,Clothing Store,Rotterdam,Centrum
Pebbles Kitty Cat Café,Cat Café,Rotterdam,Centrum
The Social Hub Rotterdam,Hotel & Co-working Space,Rotterdam,Kralingen-Crooswijk
Skate Fever,Roller Skating Rink,Rotterdam,Feijenoord
Hollywood Entertainment Center,Arcade & Bowling,Rotterdam,Centrum
Gamestate de Kuip,Arcade,Rotterdam,Feijenoord
Pathé Schouwburgplein,Cinema,Rotterdam,Centrum
Baroeg,Music Venue,Rotterdam,Lombardijen
Vessel 11,Music Venue on Ship,Rotterdam,Centrum
Tuincentrum De Molen,Garden Center,Rotterdam,Overschie

RSM STAR, Study Association, Rotterdam, Kralingen-Crooswijk
Café In de Smitse, Campus Bar, Rotterdam, Kralingen-Crooswijk
Concordia, Student Bar, Rotterdam, Kralingen-Crooswijk
Jazzcafé Dizzy, Café/Live Music Venue, Rotterdam, Delfshaven
De Witte Aap, Bar, Rotterdam, Stadscentrum
Bagels & Beans, Café, Rotterdam, Stadscentrum
Coffee Company, Café, Rotterdam, Stadscentrum
Erasmus Food Plaza, Food Court, Rotterdam, Kralingen-Crooswijk
The Living Room (Langeveld Building), Student Lounge, Rotterdam, Kralingen-Crooswijk
Paddy Murphy's Irish Pub, Bar, Rotterdam, Stadscentrum
The Suicide Club, Rooftop Bar, Rotterdam, Stadscentrum
Café @ Home, Café / Study Spot, Rotterdam, Stadscentrum
Kennis + Koffie, Café / Study Spot, Rotterdam, Stadscentrum
Hopper Coffee, Café / Study Spot, Rotterdam, Stadscentrum
Jack Bean, Healthy Eatery, Rotterdam, Stadscentrum
Teds Place, Brunch Café, Rotterdam, Stadscentrum
Noordplein, Public Square / Market, Rotterdam, Noord
Boompjeskade, Riverside Promenade, Rotterdam, Stadscentrum
Kralingse Plas, Park / Recreation Area, Rotterdam, Kralingen-Crooswijk
Museumpark, Park / Cultural Hub, Rotterdam, Stadscentrum
EFR, Study Association, Rotterdam, Kralingen-Crooswijk
FAECTOR, Study Association, Rotterdam, Kralingen-Crooswijk
In Duplo, Study Association, Rotterdam, Kralingen-Crooswijk
STAR (Study Association Rotterdam School of Management), Study Association, Rotterdam, Kralingen-Crooswijk
CSA-EUR (Chinese Student Association), Cultural Association, Rotterdam, Kralingen-Crooswijk
EESA (Eastern European Students Association), Cultural Association, Rotterdam, Kralingen-Crooswijk
SV Mozaik, Cultural Association, Rotterdam, Kralingen-Crooswijk
EUC Student Association (EUCSA), Student Association, Rotterdam, Stadscentrum
RSC (Rotterdamsch Studenten Corps), Student Association, Rotterdam, Kralingen-Crooswijk
Fit For Free Lijnbaan, Gym, Rotterdam, Centrum
CrossFit Hofplein, CrossFit Gym, Rotterdam, Centrum
Pendekar Gym, Muay Thai & MMA Gym, Rotterdam, Centrum
Team Agua, Brazilian Jiu-Jitsu Academy, Rotterdam, Centrum
Aldeia Capoeira, Capoeira School, Rotterdam, Delfshaven
KTEC, Martial Arts & Fitness Center, Capelle aan den IJssel, Capelle aan den IJssel
PMB Trainingen, MMA & Fitness Gym, Rotterdam, Overschie
Kickboxing Oosterbaan Gym, Kickboxing Gym, Rotterdam, IJsselmonde
CardioBoxing Rotterdam, Boxing Gym, Rotterdam, Noord
Noes Fiolet Studio's, Dance & Fitness Studio, Rotterdam, Centrum
Erasmus Sport, Student Sports Center, Rotterdam, Kralingen-Crooswijk
Erasmus Boxing, Student Boxing Club, Rotterdam, Kralingen-Crooswijk
Erasmus BJJ, Student Brazilian Jiu-Jitsu Club, Rotterdam, Kralingen-Crooswijk
Erasmus Runners, Student Running Club, Rotterdam, Kralingen-Crooswijk
Erasmus Dance Society, Student Dance Club, Rotterdam, Kralingen-Crooswijk
SPILKA (Ukrainian Student Association), Cultural Association, Rotterdam, Kralingen-Crooswijk
Erasmus Hellenic Society, Cultural Association, Rotterdam, Kralingen-Crooswijk
Erasmus Italian Society, Cultural Association, Rotterdam, Kralingen-Crooswijk
Erasmus Portuguese Association, Cultural Association, Rotterdam, Kralingen-Crooswijk
Nordic Student Association, Cultural Association, Rotterdam, Kralingen-Crooswijk